id,title,category,description,price,image_url,attributes
1,Navy Midi Dress (wool),Women's Dresses,"A navy midi dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",234.19,https://images.pexels.com/photos/22221770/pexels-photo-22221770.jpeg,"{'color': 'navy', 'material': 'wool', 'occasion': 'semi-formal'}"
2,Pink Cocktail Dress (cotton),Women's Dresses,"A pink cocktail dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",363.58,https://images.pexels.com/photos/6544078/pexels-photo-6544078.jpeg,"{'color': 'pink', 'material': 'cotton', 'occasion': 'semi-formal'}"
3,Black Maxi Dress (suede),Women's Dresses,"A black maxi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",216.23,https://images.pexels.com/photos/3683587/pexels-photo-3683587.jpeg,"{'color': 'black', 'material': 'suede', 'occasion': 'semi-formal'}"
4,Navy Midi Dress (linen),Women's Dresses,"A navy midi dress made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",206.91,https://images.pexels.com/photos/4690501/pexels-photo-4690501.jpeg,"{'color': 'navy', 'material': 'linen', 'occasion': 'semi-formal'}"
5,Tan Midi Dress (leather),Women's Dresses,"A tan midi dress made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",366.77,https://images.pexels.com/photos/17243579/pexels-photo-17243579.jpeg,"{'color': 'tan', 'material': 'leather', 'occasion': 'semi-formal'}"
6,Ivory Midi Dress (cotton),Women's Dresses,"A ivory midi dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",442.36,https://images.pexels.com/photos/8531226/pexels-photo-8531226.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
7,Tan Midi Dress (polyester blend),Women's Dresses,"A tan midi dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",230.81,https://images.pexels.com/photos/4357423/pexels-photo-4357423.jpeg,"{'color': 'tan', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
8,Ivory Wrap Dress (cotton),Women's Dresses,"A ivory wrap dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",342.77,https://images.pexels.com/photos/8193584/pexels-photo-8193584.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
9,Ivory Cocktail Dress (cotton),Women's Dresses,"A ivory cocktail dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",97.99,https://images.pexels.com/photos/3394237/pexels-photo-3394237.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
10,Ivory Wrap Dress (cotton),Women's Dresses,"A ivory wrap dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",79.26,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
11,Navy Wrap Dress (silk),Women's Dresses,"A navy wrap dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",376.79,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'navy', 'material': 'silk', 'occasion': 'semi-formal'}"
12,Burgundy Wrap Dress (silk),Women's Dresses,"A burgundy wrap dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",448.27,https://images.pexels.com/photos/9942927/pexels-photo-9942927.jpeg,"{'color': 'burgundy', 'material': 'silk', 'occasion': 'semi-formal'}"
13,Emerald Midi Dress (silk),Women's Dresses,"A emerald midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",76.05,https://images.pexels.com/photos/16297928/pexels-photo-16297928.jpeg,"{'color': 'emerald', 'material': 'silk', 'occasion': 'semi-formal'}"
14,Charcoal Midi Dress (cotton),Women's Dresses,"A charcoal midi dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",452.0,https://images.pexels.com/photos/35119097/pexels-photo-35119097.jpeg,"{'color': 'charcoal', 'material': 'cotton', 'occasion': 'semi-formal'}"
15,Charcoal Midi Dress (silk),Women's Dresses,"A charcoal midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",334.24,https://images.pexels.com/photos/6522474/pexels-photo-6522474.jpeg,"{'color': 'charcoal', 'material': 'silk', 'occasion': 'semi-formal'}"
16,Tan Midi Dress (silk),Women's Dresses,"A tan midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",360.41,https://images.pexels.com/photos/10131085/pexels-photo-10131085.jpeg,"{'color': 'tan', 'material': 'silk', 'occasion': 'semi-formal'}"
17,Burgundy Wrap Dress (wool),Women's Dresses,"A burgundy wrap dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",289.69,https://images.pexels.com/photos/9942927/pexels-photo-9942927.jpeg,"{'color': 'burgundy', 'material': 'wool', 'occasion': 'semi-formal'}"
18,Tan Wrap Dress (polyester blend),Women's Dresses,"A tan wrap dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",49.09,https://images.pexels.com/photos/10131085/pexels-photo-10131085.jpeg,"{'color': 'tan', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
19,Black Wrap Dress (leather),Women's Dresses,"A black wrap dress made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",198.77,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'black', 'material': 'leather', 'occasion': 'semi-formal'}"
20,Emerald Cocktail Dress (wool),Women's Dresses,"A emerald cocktail dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",125.94,https://images.pexels.com/photos/9391499/pexels-photo-9391499.jpeg,"{'color': 'emerald', 'material': 'wool', 'occasion': 'semi-formal'}"
21,Navy Cocktail Dress (linen),Women's Dresses,"A navy cocktail dress made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",321.59,https://images.pexels.com/photos/3379279/pexels-photo-3379279.jpeg,"{'color': 'navy', 'material': 'linen', 'occasion': 'semi-formal'}"
22,Black Cocktail Dress (silk),Women's Dresses,"A black cocktail dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",144.19,https://images.pexels.com/photos/35133816/pexels-photo-35133816.jpeg,"{'color': 'black', 'material': 'silk', 'occasion': 'semi-formal'}"
23,Emerald Cocktail Dress (wool),Women's Dresses,"A emerald cocktail dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",227.56,https://images.pexels.com/photos/13577766/pexels-photo-13577766.jpeg,"{'color': 'emerald', 'material': 'wool', 'occasion': 'semi-formal'}"
24,Charcoal Midi Dress (suede),Women's Dresses,"A charcoal midi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",242.72,https://images.pexels.com/photos/4690501/pexels-photo-4690501.jpeg,"{'color': 'charcoal', 'material': 'suede', 'occasion': 'semi-formal'}"
25,Black Cocktail Dress (polyester blend),Women's Dresses,"A black cocktail dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",333.82,https://images.pexels.com/photos/6405726/pexels-photo-6405726.jpeg,"{'color': 'black', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
